DATE,USGOVT
1939-01-01,3988
1939-02-01,4001
1939-03-01,4002
1939-04-01,4002
1939-05-01,4006
1939-06-01,4003
1939-07-01,4019
1939-08-01,4046
1939-09-01,4076
1939-10-01,4089
1939-11-01,4109
1939-12-01,4134
1940-01-01,4150
1940-02-01,4150
1940-03-01,4151
1940-04-01,4152
1940-05-01,4172
1940-06-01,4218
1940-07-01,4261
1940-08-01,4282
1940-09-01,4312
1940-10-01,4353
1940-11-01,4396
1940-12-01,4415
1941-01-01,4468
1941-02-01,4504
1941-03-01,4535
1941-04-01,4585
1941-05-01,4642
1941-06-01,4701
1941-07-01,4750
1941-08-01,4821
1941-09-01,4891
1941-10-01,4907
1941-11-01,4949
1941-12-01,4971
1942-01-01,5089
1942-02-01,5146
1942-03-01,5257
1942-04-01,5357
1942-05-01,5431
1942-06-01,5510
1942-07-01,5591
1942-08-01,5814
1942-09-01,5866
1942-10-01,5956
1942-11-01,6026
1942-12-01,6072
1943-01-01,6132
1943-02-01,6223
1943-03-01,6257
1943-04-01,6267
1943-05-01,6281
1943-06-01,6324
1943-07-01,6257
1943-08-01,6151
1943-09-01,6167
1943-10-01,6170
1943-11-01,6179
1943-12-01,6271
1944-01-01,6162
1944-02-01,6129
1944-03-01,6113
1944-04-01,6112
1944-05-01,6121
1944-06-01,6147
1944-07-01,6190
1944-08-01,6204
1944-09-01,6216
1944-10-01,6223
1944-11-01,6263
1944-12-01,6375
1945-01-01,6254
1945-02-01,6239
1945-03-01,6216
1945-04-01,6185
1945-05-01,6159
1945-06-01,6181
1945-07-01,6185
1945-08-01,6135
1945-09-01,5942
1945-10-01,5854
1945-11-01,5830
1945-12-01,5811
1946-01-01,5785
1946-02-01,5778
1946-03-01,5758
1946-04-01,5761
1946-05-01,5732
1946-06-01,5680
1946-07-01,5682
1946-08-01,5681
1946-09-01,5669
1946-10-01,5664
1946-11-01,5639
1946-12-01,5628
1947-01-01,5619
1947-02-01,5606
1947-03-01,5588
1947-04-01,5558
1947-05-01,5551
1947-06-01,5524
1947-07-01,5524
1947-08-01,5519
1947-09-01,5539
1947-10-01,5566
1947-11-01,5585
1947-12-01,5605
1948-01-01,5624
1948-02-01,5615
1948-03-01,5623
1948-04-01,5643
1948-05-01,5681
1948-06-01,5736
1948-07-01,5774
1948-08-01,5791
1948-09-01,5805
1948-10-01,5829
1948-11-01,5869
1948-12-01,5888
1949-01-01,5894
1949-02-01,5893
1949-03-01,5915
1949-04-01,5948
1949-05-01,5962
1949-06-01,5956
1949-07-01,5962
1949-08-01,5985
1949-09-01,5990
1949-10-01,5970
1949-11-01,5950
1949-12-01,5952
1950-01-01,5934
1950-02-01,5926
1950-03-01,6078
1950-04-01,6094
1950-05-01,6043
1950-06-01,6022
1950-07-01,6090
1950-08-01,6187
1950-09-01,6228
1950-10-01,6249
1950-11-01,6262
1950-12-01,6314
1951-01-01,6352
1951-02-01,6382
1951-03-01,6410
1951-04-01,6451
1951-05-01,6417
1951-06-01,6499
1951-07-01,6538
1951-08-01,6519
1951-09-01,6552
1951-10-01,6577
1951-11-01,6626
1951-12-01,6688
1952-01-01,6589
1952-02-01,6650
1952-03-01,6662
1952-04-01,6662
1952-05-01,6694
1952-06-01,6712
1952-07-01,6737
1952-08-01,6718
1952-09-01,6734
1952-10-01,6816
1952-11-01,6801
1952-12-01,6935
1953-01-01,6794
1953-02-01,6797
1953-03-01,6784
1953-04-01,6770
1953-05-01,6717
1953-06-01,6734
1953-07-01,6723
1953-08-01,6754
1953-09-01,6749
1953-10-01,6764
1953-11-01,6749
1953-12-01,6743
1954-01-01,6760
1954-02-01,6783
1954-03-01,6796
1954-04-01,6806
1954-05-01,6829
1954-06-01,6846
1954-07-01,6868
1954-08-01,6892
1954-09-01,6894
1954-10-01,6900
1954-11-01,6964
1954-12-01,6957
1955-01-01,6953
1955-02-01,6923
1955-03-01,6938
1955-04-01,6959
1955-05-01,6991
1955-06-01,7020
1955-07-01,7049
1955-08-01,7023
1955-09-01,7067
1955-10-01,7118
1955-11-01,7083
1955-12-01,7132
1956-01-01,7167
1956-02-01,7212
1956-03-01,7252
1956-04-01,7276
1956-05-01,7367
1956-06-01,7367
1956-07-01,7405
1956-08-01,7451
1956-09-01,7481
1956-10-01,7519
1956-11-01,7553
1956-12-01,7584
1957-01-01,7620
1957-02-01,7646
1957-03-01,7672
1957-04-01,7701
1957-05-01,7713
1957-06-01,7702
1957-07-01,7754
1957-08-01,7757
1957-09-01,7749
1957-10-01,7768
1957-11-01,7769
1957-12-01,7846
1958-01-01,7821
1958-02-01,7832
1958-03-01,7848
1958-04-01,7868
1958-05-01,7894
1958-06-01,7926
1958-07-01,7972
1958-08-01,8012
1958-09-01,8016
1958-10-01,8031
1958-11-01,8028
1958-12-01,8100
1959-01-01,8105
1959-02-01,8116
1959-03-01,8132
1959-04-01,8142
1959-05-01,8153
1959-06-01,8143
1959-07-01,8173
1959-08-01,8181
1959-09-01,8239
1959-10-01,8265
1959-11-01,8284
1959-12-01,8368
1960-01-01,8307
1960-02-01,8326
1960-03-01,8525
1960-04-01,8534
1960-05-01,8432
1960-06-01,8432
1960-07-01,8442
1960-08-01,8472
1960-09-01,8494
1960-10-01,8502
1960-11-01,8516
1960-12-01,8597
1961-01-01,8564
1961-02-01,8587
1961-03-01,8611
1961-04-01,8629
1961-05-01,8664
1961-06-01,8688
1961-07-01,8724
1961-08-01,8764
1961-09-01,8796
1961-10-01,8805
1961-11-01,8812
1961-12-01,8836
1962-01-01,8851
1962-02-01,8878
1962-03-01,8901
1962-04-01,8922
1962-05-01,8958
1962-06-01,9000
1962-07-01,9026
1962-08-01,9063
1962-09-01,9089
1962-10-01,9114
1962-11-01,9145
1962-12-01,9126
1963-01-01,9204
1963-02-01,9231
1963-03-01,9245
1963-04-01,9264
1963-05-01,9288
1963-06-01,9302
1963-07-01,9334
1963-08-01,9368
1963-09-01,9417
1963-10-01,9479
1963-11-01,9484
1963-12-01,9497
1964-01-01,9562
1964-02-01,9581
1964-03-01,9611
1964-04-01,9644
1964-05-01,9670
1964-06-01,9669
1964-07-01,9677
1964-08-01,9732
1964-09-01,9786
1964-10-01,9845
1964-11-01,9879
1964-12-01,9897
1965-01-01,9937
1965-02-01,9974
1965-03-01,10010
1965-04-01,10051
1965-05-01,10094
1965-06-01,10128
1965-07-01,10201
1965-08-01,10271
1965-09-01,10338
1965-10-01,10378
1965-11-01,10436
1965-12-01,10499
1966-01-01,10541
1966-02-01,10611
1966-03-01,10692
1966-04-01,10759
1966-05-01,10821
1966-06-01,10902
1966-07-01,10974
1966-08-01,11006
1966-09-01,11063
1966-10-01,11127
1966-11-01,11203
1966-12-01,11256
1967-01-01,11315
1967-02-01,11353
1967-03-01,11397
1967-04-01,11435
1967-05-01,11474
1967-06-01,11534
1967-07-01,11544
1967-08-01,11590
1967-09-01,11623
1967-10-01,11642
1967-11-01,11695
1967-12-01,11735
1968-01-01,11794
1968-02-01,11819
1968-03-01,11842
1968-04-01,11878
1968-05-01,11905
1968-06-01,11987
1968-07-01,12018
1968-08-01,12042
1968-09-01,12067
1968-10-01,12101
1968-11-01,12107
1968-12-01,12145
1969-01-01,12209
1969-02-01,12224
1969-03-01,12229
1969-04-01,12245
1969-05-01,12284
1969-06-01,12359
1969-07-01,12340
1969-08-01,12373
1969-09-01,12379
1969-10-01,12430
1969-11-01,12448
1969-12-01,12477
1970-01-01,12496
1970-02-01,12518
1970-03-01,12603
1970-04-01,12705
1970-05-01,12668
1970-06-01,12667
1970-07-01,12697
1970-08-01,12711
1970-09-01,12741
1970-10-01,12793
1970-11-01,12830
1970-12-01,12845
1971-01-01,12878
1971-02-01,12877
1971-03-01,12908
1971-04-01,12945
1971-05-01,12970
1971-06-01,13008
1971-07-01,13011
1971-08-01,13041
1971-09-01,13068
1971-10-01,13115
1971-11-01,13148
1971-12-01,13190
1972-01-01,13266
1972-02-01,13298
1972-03-01,13329
1972-04-01,13358
1972-05-01,13416
1972-06-01,13405
1972-07-01,13482
1972-08-01,13530
1972-09-01,13575
1972-10-01,13606
1972-11-01,13643
1972-12-01,13684
1973-01-01,13690
1973-02-01,13711
1973-03-01,13745
1973-04-01,13777
1973-05-01,13817
1973-06-01,13872
1973-07-01,13865
1973-08-01,13904
1973-09-01,13892
1973-10-01,13977
1973-11-01,14035
1973-12-01,14070
1974-01-01,14090
1974-02-01,14135
1974-03-01,14152
1974-04-01,14191
1974-05-01,14221
1974-06-01,14239
1974-07-01,14288
1974-08-01,14328
1974-09-01,14422
1974-10-01,14484
1974-11-01,14532
1974-12-01,14559
1975-01-01,14624
1975-02-01,14747
1975-03-01,14754
1975-04-01,14795
1975-05-01,14827
1975-06-01,14784
1975-07-01,14861
1975-08-01,14870
1975-09-01,14824
1975-10-01,14900
1975-11-01,14903
1975-12-01,14946
1976-01-01,14969
1976-02-01,14981
1976-03-01,14987
1976-04-01,14985
1976-05-01,14971
1976-06-01,14963
1976-07-01,14993
1976-08-01,15007
1976-09-01,14971
1976-10-01,15028
1976-11-01,15073
1976-12-01,15075
1977-01-01,15056
1977-02-01,15056
1977-03-01,15050
1977-04-01,15075
1977-05-01,15132
1977-06-01,15207
1977-07-01,15299
1977-08-01,15328
1977-09-01,15403
1977-10-01,15463
1977-11-01,15515
1977-12-01,15538
1978-01-01,15611
1978-02-01,15671
1978-03-01,15731
1978-04-01,15797
1978-05-01,15834
1978-06-01,15852
1978-07-01,15901
1978-08-01,15891
1978-09-01,15819
1978-10-01,15858
1978-11-01,15894
1978-12-01,15911
1979-01-01,15937
1979-02-01,15947
1979-03-01,15956
1979-04-01,15977
1979-05-01,15990
1979-06-01,16045
1979-07-01,16150
1979-08-01,16229
1979-09-01,16128
1979-10-01,16136
1979-11-01,16173
1979-12-01,16180
1980-01-01,16201
1980-02-01,16226
1980-03-01,16296
1980-04-01,16583
1980-05-01,16454
1980-06-01,16441
1980-07-01,16418
1980-08-01,16410
1980-09-01,16330
1980-10-01,16386
1980-11-01,16391
1980-12-01,16373
1981-01-01,16360
1981-02-01,16346
1981-03-01,16292
1981-04-01,16260
1981-05-01,16198
1981-06-01,16159
1981-07-01,16175
1981-08-01,16110
1981-09-01,16031
1981-10-01,16069
1981-11-01,16078
1981-12-01,16073
1982-01-01,16041
1982-02-01,16011
1982-03-01,16024
1982-04-01,16010
1982-05-01,16003
1982-06-01,16016
1982-07-01,15890
1982-08-01,15930
1982-09-01,15923
1982-10-01,15956
1982-11-01,15977
1982-12-01,15981
1983-01-01,16023
1983-02-01,16004
1983-03-01,16005
1983-04-01,15990
1983-05-01,16005
1983-06-01,16020
1983-07-01,16011
1983-08-01,16016
1983-09-01,16042
1983-10-01,15986
1983-11-01,15997
1983-12-01,16008
1984-01-01,16010
1984-02-01,16025
1984-03-01,16030
1984-04-01,16075
1984-05-01,16103
1984-06-01,16127
1984-07-01,16172
1984-08-01,16224
1984-09-01,16255
1984-10-01,16274
1984-11-01,16311
1984-12-01,16282
1985-01-01,16336
1985-02-01,16349
1985-03-01,16395
1985-04-01,16430
1985-05-01,16474
1985-06-01,16498
1985-07-01,16620
1985-08-01,16619
1985-09-01,16638
1985-10-01,16654
1985-11-01,16674
1985-12-01,16694
1986-01-01,16715
1986-02-01,16759
1986-03-01,16755
1986-04-01,16765
1986-05-01,16790
1986-06-01,16779
1986-07-01,16779
1986-08-01,16800
1986-09-01,16910
1986-10-01,16969
1986-11-01,17005
1986-12-01,17021
1987-01-01,17045
1987-02-01,17036
1987-03-01,17064
1987-04-01,17109
1987-05-01,17112
1987-06-01,17124
1987-07-01,17160
1987-08-01,17172
1987-09-01,17135
1987-10-01,17269
1987-11-01,17299
1987-12-01,17347
1988-01-01,17365
1988-02-01,17389
1988-03-01,17447
1988-04-01,17452
1988-05-01,17481
1988-06-01,17515
1988-07-01,17494
1988-08-01,17544
1988-09-01,17634
1988-10-01,17670
1988-11-01,17746
1988-12-01,17736
1989-01-01,17774
1989-02-01,17812
1989-03-01,17822
1989-04-01,17840
1989-05-01,17876
1989-06-01,17912
1989-07-01,17905
1989-08-01,17989
1989-09-01,18027
1989-10-01,18033
1989-11-01,18057
1989-12-01,18075
1990-01-01,18151
1990-02-01,18177
1990-03-01,18294
1990-04-01,18377
1990-05-01,18599
1990-06-01,18556
1990-07-01,18560
1990-08-01,18457
1990-09-01,18437
1990-10-01,18443
1990-11-01,18450
1990-12-01,18468
1991-01-01,18474
1991-02-01,18482
1991-03-01,18488
1991-04-01,18485
1991-05-01,18498
1991-06-01,18561
1991-07-01,18598
1991-08-01,18567
1991-09-01,18543
1991-10-01,18593
1991-11-01,18627
1991-12-01,18641
1992-01-01,18688
1992-02-01,18689
1992-03-01,18715
1992-04-01,18739
1992-05-01,18753
1992-06-01,18762
1992-07-01,18817
1992-08-01,18883
1992-09-01,18829
1992-10-01,18828
1992-11-01,18841
1992-12-01,18878
1993-01-01,18901
1993-02-01,18902
1993-03-01,18907
1993-04-01,18938
1993-05-01,18951
1993-06-01,18969
1993-07-01,19060
1993-08-01,19028
1993-09-01,19041
1993-10-01,19042
1993-11-01,19068
1993-12-01,19109
1994-01-01,19147
1994-02-01,19150
1994-03-01,19190
1994-04-01,19223
1994-05-01,19264
1994-06-01,19274
1994-07-01,19301
1994-08-01,19306
1994-09-01,19337
1994-10-01,19344
1994-11-01,19367
1994-12-01,19388
1995-01-01,19397
1995-02-01,19407
1995-03-01,19427
1995-04-01,19434
1995-05-01,19418
1995-06-01,19445
1995-07-01,19437
1995-08-01,19429
1995-09-01,19430
1995-10-01,19464
1995-11-01,19463
1995-12-01,19466
1996-01-01,19450
1996-02-01,19485
1996-03-01,19532
1996-04-01,19515
1996-05-01,19529
1996-06-01,19528
1996-07-01,19547
1996-08-01,19504
1996-09-01,19567
1996-10-01,19554
1996-11-01,19565
1996-12-01,19571
1997-01-01,19593
1997-02-01,19598
1997-03-01,19608
1997-04-01,19603
1997-05-01,19601
1997-06-01,19660
1997-07-01,19686
1997-08-01,19617
1997-09-01,19679
1997-10-01,19738
1997-11-01,19761
1997-12-01,19766
1998-01-01,19770
1998-02-01,19786
1998-03-01,19792
1998-04-01,19816
1998-05-01,19875
1998-06-01,19879
1998-07-01,19930
1998-08-01,19959
1998-09-01,19985
1998-10-01,20001
1998-11-01,20044
1998-12-01,20079
1999-01-01,20084
1999-02-01,20144
1999-03-01,20168
1999-04-01,20237
1999-05-01,20229
1999-06-01,20272
1999-07-01,20339
1999-08-01,20375
1999-09-01,20404
1999-10-01,20457
1999-11-01,20496
1999-12-01,20540
2000-01-01,20571
2000-02-01,20599
2000-03-01,20733
2000-04-01,20802
2000-05-01,21147
2000-06-01,20887
2000-07-01,20867
2000-08-01,20837
2000-09-01,20735
2000-10-01,20743
2000-11-01,20760
2000-12-01,20804
2001-01-01,20835
2001-02-01,20906
2001-03-01,20945
2001-04-01,20992
2001-05-01,21029
2001-06-01,21137
2001-07-01,21185
2001-08-01,21218
2001-09-01,21242
2001-10-01,21275
2001-11-01,21326
2001-12-01,21355
2002-01-01,21377
2002-02-01,21390
2002-03-01,21431
2002-04-01,21443
2002-05-01,21514
2002-06-01,21549
2002-07-01,21544
2002-08-01,21589
2002-09-01,21546
2002-10-01,21559
2002-11-01,21581
2002-12-01,21588
2003-01-01,21626
2003-02-01,21624
2003-03-01,21610
2003-04-01,21595
2003-05-01,21567
2003-06-01,21606
2003-07-01,21633
2003-08-01,21556
2003-09-01,21504
2003-10-01,21558
2003-11-01,21535
2003-12-01,21546
2004-01-01,21538
2004-02-01,21550
2004-03-01,21588
2004-04-01,21614
2004-05-01,21614
2004-06-01,21601
2004-07-01,21606
2004-08-01,21626
2004-09-01,21635
2004-10-01,21656
2004-11-01,21692
2004-12-01,21693
2005-01-01,21735
2005-02-01,21744
2005-03-01,21740
2005-04-01,21754
2005-05-01,21781
2005-06-01,21763
2005-07-01,21857
2005-08-01,21863
2005-09-01,21845
2005-10-01,21829
2005-11-01,21859
2005-12-01,21879
2006-01-01,21847
2006-02-01,21878
2006-03-01,21903
2006-04-01,21919
2006-05-01,21926
2006-06-01,21922
2006-07-01,21973
2006-08-01,22011
2006-09-01,22082
2006-10-01,22068
2006-11-01,22083
2006-12-01,22088
2007-01-01,22095
2007-02-01,22131
2007-03-01,22149
2007-04-01,22175
2007-05-01,22193
2007-06-01,22207
2007-07-01,22171
2007-08-01,22226
2007-09-01,22279
2007-10-01,22297
2007-11-01,22334
2007-12-01,22376
2008-01-01,22388
2008-02-01,22417
2008-03-01,22443
2008-04-01,22450
2008-05-01,22483
2008-06-01,22517
2008-07-01,22568
2008-08-01,22567
2008-09-01,22537
2008-10-01,22549
2008-11-01,22560
2008-12-01,22556
2009-01-01,22579
2009-02-01,22576
2009-03-01,22560
2009-04-01,22677
2009-05-01,22617
2009-06-01,22576
2009-07-01,22521
2009-08-01,22537
2009-09-01,22451
2009-10-01,22524
2009-11-01,22533
2009-12-01,22482
2010-01-01,22491
2010-02-01,22476
2010-03-01,22518
2010-04-01,22569
2010-05-01,22996
2010-06-01,22740
2010-07-01,22569
2010-08-01,22420
2010-09-01,22247
2010-10-01,22297
2010-11-01,22287
2010-12-01,22266
2011-01-01,22258
2011-02-01,22215
2011-03-01,22192
2011-04-01,22184
2011-05-01,22129
2011-06-01,22164
2011-07-01,22049
2011-08-01,22017
2011-09-01,21983
2011-10-01,21998
2011-11-01,21971
2011-12-01,21954
2012-01-01,21946
2012-02-01,21947
2012-03-01,21943
2012-04-01,21931
2012-05-01,21911
2012-06-01,21930
2012-07-01,21913
2012-08-01,21916
2012-09-01,21925
2012-10-01,21903
2012-11-01,21883
2012-12-01,21887
2013-01-01,21869
2013-02-01,21881
2013-03-01,21870
2013-04-01,21869
2013-05-01,21864
2013-06-01,21840
2013-07-01,21815
2013-08-01,21831
2013-09-01,21835
2013-10-01,21830
2013-11-01,21843
2013-12-01,21820
2014-01-01,21810
2014-02-01,21823
2014-03-01,21831
2014-04-01,21857
2014-05-01,21863
2014-06-01,21895
2014-07-01,21878
2014-08-01,21863
2014-09-01,21896
2014-10-01,21917
2014-11-01,21934
2014-12-01,21949
2015-01-01,21955
2015-02-01,21975
2015-03-01,21964
2015-04-01,22000
2015-05-01,22010
2015-06-01,22012
2015-07-01,22034
2015-08-01,22072
2015-09-01,22041
2015-10-01,22059
2015-11-01,22084
2015-12-01,22100
2016-01-01,22113
2016-02-01,22138
2016-03-01,22173
2016-04-01,22177
2016-05-01,22191
2016-06-01,22187
2016-07-01,22281
2016-08-01,22284
2016-09-01,22309
2016-10-01,22300
2016-11-01,22298
2016-12-01,22306
2017-01-01,22313
2017-02-01,22309
2017-03-01,22314
2017-04-01,22315
2017-05-01,22305
2017-06-01,22324
2017-07-01,22326
2017-08-01,22339
2017-09-01,22337
2017-10-01,22331
2017-11-01,22330
2017-12-01,22331
2018-01-01,22319
2018-02-01,22322
2018-03-01,22324
2018-04-01,22325
2018-05-01,22333
2018-06-01,22349
2018-07-01,22343
2018-08-01,22340
